junit/runner/BaseTestRunner,private,test,Ljunit/framework/Test;,Not using generics,0..1
junit/runner/BaseTestRunner,private,test,Ljunit/framework/Test;,Not using generics,0..1
junit/runner/BaseTestRunner,private,test,Ljunit/framework/Test;,Not using generics,0..1
junit/runner/BaseTestRunner,private,t,Ljunit/framework/AssertionFailedError;,Not using generics,0..1
junit/runner/BaseTestRunner,private,test,Ljunit/framework/Test;,Not using generics,0..1
junit/samples/AllTests,private,suite,Ljunit/framework/TestSuite;,Not using generics,0..1
junit/samples/money/Money,private,m,Ljunit/samples/money/IMoney;,Not using generics,0..1
junit/samples/money/Money,private,m,Ljunit/samples/money/Money;,Not using generics,0..1
junit/samples/money/Money,private,s,Ljunit/samples/money/MoneyBag;,Not using generics,0..1
junit/samples/money/Money,private,aMoney,Ljunit/samples/money/Money;,Not using generics,0..1
junit/samples/money/Money,private,m,Ljunit/samples/money/IMoney;,Not using generics,0..1
junit/samples/money/Money,private,m,Ljunit/samples/money/MoneyBag;,Not using generics,0..1
junit/samples/money/MoneyBag,private,m1,Ljunit/samples/money/IMoney;,Not using generics,0..1
junit/samples/money/MoneyBag,private,m2,Ljunit/samples/money/IMoney;,Not using generics,0..1
junit/samples/money/MoneyBag,private,result,Ljunit/samples/money/MoneyBag;,Not using generics,0..1
junit/samples/money/MoneyBag,private,m,Ljunit/samples/money/IMoney;,Not using generics,0..1
junit/samples/money/MoneyBag,private,m,Ljunit/samples/money/Money;,Not using generics,0..1
junit/samples/money/MoneyBag,private,s,Ljunit/samples/money/MoneyBag;,Not using generics,0..1
junit/samples/money/MoneyBag,private,aBag,Ljunit/samples/money/MoneyBag;,Not using generics,0..1
junit/samples/money/MoneyBag,private,each,Ljunit/samples/money/Money;,Not using generics,0..1
junit/samples/money/MoneyBag,private,aMoney,Ljunit/samples/money/Money;,Not using generics,0..1
junit/samples/money/MoneyBag,private,old,Ljunit/samples/money/IMoney;,Not using generics,0..1
junit/samples/money/MoneyBag,private,sum,Ljunit/samples/money/Money;,Not using generics,0..1
junit/samples/money/MoneyBag,private,aMoneyBag,Ljunit/samples/money/MoneyBag;,Not using generics,0..1
junit/samples/money/MoneyBag,private,each,Ljunit/samples/money/Money;,Not using generics,0..1
junit/samples/money/MoneyBag,private,each,Ljunit/samples/money/Money;,Not using generics,0..1
junit/samples/money/MoneyBag,private,m,Ljunit/samples/money/Money;,Not using generics,0..1
junit/samples/money/MoneyBag,private,found,Ljunit/samples/money/Money;,Not using generics,0..1
junit/samples/money/MoneyBag,private,each,Ljunit/samples/money/Money;,Not using generics,0..1
junit/samples/money/MoneyBag,private,result,Ljunit/samples/money/MoneyBag;,Not using generics,0..1
junit/samples/money/MoneyBag,private,each,Ljunit/samples/money/Money;,Not using generics,0..1
junit/samples/money/MoneyBag,private,result,Ljunit/samples/money/MoneyBag;,Not using generics,0..1
junit/samples/money/MoneyBag,private,each,Ljunit/samples/money/Money;,Not using generics,0..1
junit/samples/money/MoneyBag,private,m,Ljunit/samples/money/IMoney;,Not using generics,0..1
junit/samples/money/MoneyBag,private,each,Ljunit/samples/money/Money;,Not using generics,0..1
junit/samples/money/MoneyBag,private,m,Ljunit/samples/money/MoneyBag;,Not using generics,0..1
junit/samples/money/MoneyTest,private,expected,Ljunit/samples/money/IMoney;,Not using generics,0..1
junit/samples/money/MoneyTest,private,expected,Ljunit/samples/money/IMoney;,Not using generics,0..1
junit/samples/money/MoneyTest,private,expected,Ljunit/samples/money/IMoney;,Not using generics,0..1
junit/samples/money/MoneyTest,private,expected,Ljunit/samples/money/IMoney;,Not using generics,0..1
junit/samples/money/MoneyTest,private,expected,Ljunit/samples/money/IMoney;,Not using generics,0..1
junit/samples/money/MoneyTest,private,expected,Ljunit/samples/money/IMoney;,Not using generics,0..1
junit/samples/money/MoneyTest,private,bag,Ljunit/samples/money/IMoney;,Not using generics,0..1
junit/samples/money/MoneyTest,private,equal,Ljunit/samples/money/IMoney;,Not using generics,0..1
junit/samples/money/MoneyTest,private,equal,Ljunit/samples/money/IMoney;,Not using generics,0..1
junit/samples/money/MoneyTest,private,equalMoney,Ljunit/samples/money/Money;,Not using generics,0..1
junit/samples/money/MoneyTest,private,equal,Ljunit/samples/money/Money;,Not using generics,0..1
junit/samples/money/MoneyTest,private,money,Ljunit/samples/money/IMoney;,Not using generics,0..1
junit/samples/money/MoneyTest,private,expected,Ljunit/samples/money/Money;,Not using generics,0..1
junit/samples/money/MoneyTest,private,ms1,Ljunit/samples/money/IMoney;,Not using generics,0..1
junit/samples/money/MoneyTest,private,expected,Ljunit/samples/money/Money;,Not using generics,0..1
junit/samples/money/MoneyTest,private,ms1,Ljunit/samples/money/IMoney;,Not using generics,0..1
junit/samples/money/MoneyTest,private,expected,Ljunit/samples/money/Money;,Not using generics,0..1
junit/samples/money/MoneyTest,private,expected,Ljunit/samples/money/Money;,Not using generics,0..1
junit/samples/money/MoneyTest,private,expected,Ljunit/samples/money/IMoney;,Not using generics,0..1
junit/samples/money/MoneyTest,private,expected,Ljunit/samples/money/Money;,Not using generics,0..1
junit/samples/money/MoneyTest,private,expected,Ljunit/samples/money/Money;,Not using generics,0..1
junit/samples/money/MoneyTest,private,expected,Ljunit/samples/money/Money;,Not using generics,0..1
junit/tests/AllTests,private,suite,Ljunit/framework/TestSuite;,Not using generics,0..1
junit/tests/extensions/ActiveTestTest,private,test,Ljunit/framework/Test;,Not using generics,0..1
junit/tests/extensions/ActiveTestTest,private,result,Ljunit/framework/TestResult;,Not using generics,0..1
junit/tests/extensions/ActiveTestTest,private,test,Ljunit/framework/Test;,Not using generics,0..1
junit/tests/extensions/ActiveTestTest,private,result,Ljunit/framework/TestResult;,Not using generics,0..1
junit/tests/extensions/ActiveTestTest,private,test,Ljunit/framework/Test;,Not using generics,0..1
