INVOKEINTERFACE,run,junit/extensions/ActiveTestSuite$1,junit/framework/Test
INVOKEVIRTUAL,runFinished,junit/extensions/ActiveTestSuite$1,junit/extensions/ActiveTestSuite
INVOKEVIRTUAL,runFinished,junit/extensions/ActiveTestSuite$1,junit/extensions/ActiveTestSuite
INVOKESPECIAL,<init>,junit/extensions/ActiveTestSuite,junit/framework/TestSuite
INVOKESPECIAL,<init>,junit/extensions/ActiveTestSuite,junit/framework/TestSuite
INVOKESPECIAL,<init>,junit/extensions/ActiveTestSuite,junit/framework/TestSuite
INVOKESPECIAL,<init>,junit/extensions/ActiveTestSuite,junit/framework/TestSuite
INVOKESPECIAL,run,junit/extensions/ActiveTestSuite,junit/framework/TestSuite
INVOKESPECIAL,<init>,junit/extensions/ActiveTestSuite,junit/extensions/ActiveTestSuite$1
INVOKESPECIAL,<init>,junit/extensions/RepeatedTest,junit/extensions/TestDecorator
INVOKESPECIAL,countTestCases,junit/extensions/RepeatedTest,junit/extensions/TestDecorator
INVOKEVIRTUAL,shouldStop,junit/extensions/RepeatedTest,junit/framework/TestResult
INVOKESPECIAL,run,junit/extensions/RepeatedTest,junit/extensions/TestDecorator
INVOKESPECIAL,toString,junit/extensions/RepeatedTest,junit/extensions/TestDecorator
INVOKESPECIAL,<init>,junit/extensions/TestDecorator,junit/framework/Assert
INVOKEINTERFACE,run,junit/extensions/TestDecorator,junit/framework/Test
INVOKEINTERFACE,countTestCases,junit/extensions/TestDecorator,junit/framework/Test
INVOKEVIRTUAL,setUp,junit/extensions/TestSetup$1,junit/extensions/TestSetup
INVOKEVIRTUAL,basicRun,junit/extensions/TestSetup$1,junit/extensions/TestSetup
INVOKEVIRTUAL,tearDown,junit/extensions/TestSetup$1,junit/extensions/TestSetup
INVOKESPECIAL,<init>,junit/extensions/TestSetup,junit/extensions/TestDecorator
INVOKESPECIAL,<init>,junit/extensions/TestSetup,junit/extensions/TestSetup$1
INVOKEVIRTUAL,runProtected,junit/extensions/TestSetup,junit/framework/TestResult
INVOKESPECIAL,<init>,junit/framework/Assert,junit/framework/AssertionFailedError
INVOKESPECIAL,<init>,junit/framework/Assert,junit/framework/AssertionFailedError
INVOKESPECIAL,<init>,junit/framework/Assert,junit/framework/ComparisonFailure
INVOKESTATIC,format,junit/framework/ComparisonCompactor,junit/framework/Assert
INVOKESTATIC,format,junit/framework/ComparisonCompactor,junit/framework/Assert
INVOKESPECIAL,<init>,junit/framework/ComparisonFailure,junit/framework/AssertionFailedError
INVOKESPECIAL,<init>,junit/framework/ComparisonFailure,junit/framework/ComparisonCompactor
INVOKESPECIAL,getMessage,junit/framework/ComparisonFailure,junit/framework/AssertionFailedError
INVOKEVIRTUAL,compact,junit/framework/ComparisonFailure,junit/framework/ComparisonCompactor
INVOKESTATIC,getDefault,junit/framework/JUnit4TestAdapter,junit/framework/JUnit4TestAdapterCache
INVOKESTATIC,classWithoutSuiteMethod,junit/framework/JUnit4TestAdapter,org/junit/runner/Request
INVOKEVIRTUAL,getRunner,junit/framework/JUnit4TestAdapter,org/junit/runner/Request
INVOKEVIRTUAL,testCount,junit/framework/JUnit4TestAdapter,org/junit/runner/Runner
INVOKEVIRTUAL,getNotifier,junit/framework/JUnit4TestAdapter,junit/framework/JUnit4TestAdapterCache
INVOKEVIRTUAL,run,junit/framework/JUnit4TestAdapter,org/junit/runner/Runner
INVOKEVIRTUAL,asTestList,junit/framework/JUnit4TestAdapter,junit/framework/JUnit4TestAdapterCache
INVOKEVIRTUAL,getDescription,junit/framework/JUnit4TestAdapter,org/junit/runner/Runner
INVOKEVIRTUAL,childlessCopy,junit/framework/JUnit4TestAdapter,org/junit/runner/Description
INVOKEVIRTUAL,getChildren,junit/framework/JUnit4TestAdapter,org/junit/runner/Description
INVOKEVIRTUAL,isEmpty,junit/framework/JUnit4TestAdapter,org/junit/runner/Description
INVOKEVIRTUAL,addChild,junit/framework/JUnit4TestAdapter,org/junit/runner/Description
INVOKEVIRTUAL,getAnnotation,junit/framework/JUnit4TestAdapter,org/junit/runner/Description
INVOKEVIRTUAL,apply,junit/framework/JUnit4TestAdapter,org/junit/runner/manipulation/Filter
INVOKEVIRTUAL,apply,junit/framework/JUnit4TestAdapter,org/junit/runner/manipulation/Sorter
INVOKESPECIAL,<init>,junit/framework/JUnit4TestAdapterCache$1,org/junit/runner/notification/RunListener
INVOKEVIRTUAL,getDescription,junit/framework/JUnit4TestAdapterCache$1,org/junit/runner/notification/Failure
INVOKEVIRTUAL,asTest,junit/framework/JUnit4TestAdapterCache$1,junit/framework/JUnit4TestAdapterCache
INVOKEVIRTUAL,getException,junit/framework/JUnit4TestAdapterCache$1,org/junit/runner/notification/Failure
INVOKEVIRTUAL,addError,junit/framework/JUnit4TestAdapterCache$1,junit/framework/TestResult
INVOKEVIRTUAL,asTest,junit/framework/JUnit4TestAdapterCache$1,junit/framework/JUnit4TestAdapterCache
INVOKEVIRTUAL,endTest,junit/framework/JUnit4TestAdapterCache$1,junit/framework/TestResult
INVOKEVIRTUAL,asTest,junit/framework/JUnit4TestAdapterCache$1,junit/framework/JUnit4TestAdapterCache
INVOKEVIRTUAL,startTest,junit/framework/JUnit4TestAdapterCache$1,junit/framework/TestResult
INVOKEVIRTUAL,isSuite,junit/framework/JUnit4TestAdapterCache,org/junit/runner/Description
INVOKEVIRTUAL,isTest,junit/framework/JUnit4TestAdapterCache,org/junit/runner/Description
INVOKESPECIAL,<init>,junit/framework/JUnit4TestAdapterCache,junit/framework/JUnit4TestCaseFacade
